Export: MvN10-101-85764,,,,
Time: 07:28:53Z,,,,
Records: 130,,,,
Has header: True,,,,
,,,,
,,,,
ProductKey,ProductSubcategoryKey,Product_New,Unit_Cost,Unit_Price
309,10,"GT MTB-500 Green, 44",317.24,587.6
310,10,"GT MTB-500 Black, 40",303.85,561.6
311,10,"GT MTB-500 Green, 52",317.24,587.6
312,10,"GT MTB-500 Green, 48",317.24,587.6
313,11,"Trek-650 Black, 58",501.61,814.32
314,11,"Trek-650 Red, 62",501.61,814.32
315,11,"Trek-650 Black, 60",501.61,814.32
316,11,"Trek-650 Black, 62",501.61,814.32
317,4,Chain Lube,3,9.99
318,13,"Padded Gloves, S",9,24.99
319,13,"Padded Gloves, L",9,29.99
320,13,"Padded Gloves, M",9,25.99
321,3,"Water Bottle Holder, Aluminum",8,24.5
322,5,Fender Extenders,8,21.99
323,16,"Multi-sport Socks, L",3,12.5
324,16,"Multi-sport Socks, M",3,10.99
325,3,"Water Bottle Holder, Steel",3,9.99
326,9,Multi-tool ,7,33.5
327,6,S-Works TT Helmet,75,225
328,6,Specialized Helmet,35,69.99
329,6,"S-Works TT Helmet, Anniversary Edition",75,235
330,7,"Hydration Pack, 2.95L",25,64.99
